"File","Line","Type","Src","Alt","Title","Caption","Missing"
"C:\Users\san-20250514\aisunzibingfa\content\about\index.md","front-matter","Cover","https://img.aisunzibingfa.com/pages/about.jpg","关于 AI孙子兵法","","关于 AI孙子兵法",""
"C:\Users\san-20250514\aisunzibingfa\content\blueprint\index.md","front-matter","Cover","https://img.aisunzibingfa.com/pages/blueprint.jpg","企业蓝图","","AI孙子兵法企业蓝图",""
"C:\Users\san-20250514\aisunzibingfa\content\brand-story\index.md","front-matter","Cover","https://img.aisunzibingfa.com/pages/brand-story.jpg","AI孙子兵法品牌故事","","AI孙子兵法品牌故事",""
"C:\Users\san-20250514\aisunzibingfa\content\contact\index.md","front-matter","Cover","https://img.aisunzibingfa.com/pages/contact.jpg","联系我们","","联系我们",""
"C:\Users\san-20250514\aisunzibingfa\content\exam\index.md","front-matter","Cover","https://img.aisunzibingfa.com/pages/exam.jpg","AI孙子兵法考试局","","AI孙子兵法考试局",""
"C:\Users\san-20250514\aisunzibingfa\content\founders\_index.md","front-matter","Cover","https://img.aisunzibingfa.com/placeholder/founders.jpg","朋友创业圈","","朋友创业圈",""
"C:\Users\san-20250514\aisunzibingfa\content\founders\ai-sunzi-bingfa-steven-tang-how-education-innovation\index.md","30","Markdown","https://img.aisunzibingfa.com/founders/ai-sunzi-bingfa-steven-tang-how-education-innovation.jpg","吴雄山与唐锡豪于吉隆坡畅谈AI孙子兵法与教育革新合影","吴雄山与唐锡豪于吉隆坡畅谈AI孙子兵法与教育革新合影","",""
"C:\Users\san-20250514\aisunzibingfa\content\founders\ai-sunzi-bingfa-steven-tang-how-education-innovation\index.md","front-matter","Cover","https://img.aisunzibingfa.com/founders/ai-sunzi-bingfa-steven-tang-how-education-innovation.jpg","吴雄山与唐锡豪于吉隆坡畅谈AI孙子兵法与教育革新合影","","AI孙子兵法创始人吴雄山与马来西亚孙子兵法策略哲理学会财政唐锡豪蛇年新春首晤",""
"C:\Users\san-20250514\aisunzibingfa\content\founders\andrew-chong-ai-sun-tzu-youth-strategy-program\index.md","31","Markdown","https://img.aisunzibingfa.com/founders/andrew-chong-ai-sun-tzu-youth-strategy-program.jpg","封面","封面","",""
"C:\Users\san-20250514\aisunzibingfa\content\founders\andrew-chong-ai-sun-tzu-youth-strategy-program\index.md","front-matter","Cover","https://img.aisunzibingfa.com/founders/andrew-chong-ai-sun-tzu-youth-strategy-program.jpg","孙子兵法与青年未来计划新闻发布会现场","","张健权老师主持《孙子兵法与青年未来》计划新闻发布会",""
